ax,ay,az,gx,gy,gz,mx,my,mz
0.04589,0.02299,9.82458,0.02882,0.08963,0.01772,22.1397,-5.58708,40.98948
0.04649,0.02263,9.82369,0.05994,0.11492,0.01463,22.09279,-5.37206,40.74703
0.04704,0.02225,9.82275,0.04754,0.09835,0.01503,21.85654,-5.34558,40.76667
0.04755,0.02187,9.82176,0.03661,0.09941,0.00087,21.90002,-4.86504,41.4566
0.04801,0.02148,9.82072,0.04999,0.10264,0.01074,21.77668,-5.20232,41.4582
0.04843,0.02108,9.81964,0.0603,0.09714,0.02969,21.9903,-4.8139,41.09228
0.0488,0.02067,9.81852,0.04923,0.11506,0.02088,21.58016,-5.11995,41.1285
0.04911,0.02026,9.81736,0.06035,0.07804,0.00237,21.42809,-5.02133,40.96904
0.04938,0.01984,9.81618,0.05703,0.08344,0.00783,21.39309,-4.90124,41.11102
0.04961,0.01941,9.81497,0.06457,0.09866,0.0133,22.40478,-5.04091,40.80175
0.04978,0.01898,9.81375,0.05048,0.0845,0.00372,22.0469,-4.92503,40.89132
0.0499,0.01854,9.81251,0.04959,0.09366,0.02344,22.01148,-5.15229,40.82257
0.04998,0.01809,9.81126,0.05706,0.07688,0.01453,22.01835,-4.4466,41.28304
0.05,0.01763,9.81,0.06912,0.08197,0.0188,21.65819,-4.90641,41.12562
0.04998,0.01717,9.80874,0.05213,0.10866,0.01859,21.42918,-4.83414,40.87778
0.0499,0.01671,9.80749,0.06081,0.09289,0.018,21.38825,-5.3475,41.23179
0.04978,0.01623,9.80625,0.0748,0.10681,0.02536,21.38334,-4.76916,40.42511
0.04961,0.01576,9.80503,0.07891,0.08986,0.01094,22.60297,-4.80681,40.43266
0.04938,0.01527,9.80382,0.06668,0.07955,0.01749,21.86044,-4.58795,40.57301
0.04911,0.01478,9.80264,0.06788,0.10453,0.0131,22.06319,-4.9394,40.79309
0.0488,0.01429,9.80148,0.07214,0.08688,0.01281,22.5286,-4.76252,40.94987
0.04843,0.01379,9.80036,0.06023,0.07758,0.02398,21.95606,-4.86217,40.94466
0.04801,0.01328,9.79928,0.0737,0.08377,0.02193,21.94504,-4.75112,41.20172
0.04755,0.01277,9.79824,0.06729,0.07584,0.01371,21.77778,-5.29535,41.25974
0.04704,0.01226,9.79725,0.0689,0.09963,0.03009,22.00727,-5.46441,40.88556
0.04649,0.01174,9.79631,0.06951,0.06852,0.01774,22.08608,-5.13783,40.76947
0.04589,0.01122,9.79542,0.06357,0.10075,0.01848,21.75102,-5.11187,41.2863
0.04524,0.01069,9.79459,0.06518,0.08717,0.02321,22.22474,-4.58009,40.83486
0.04455,0.01016,9.79382,0.08422,0.07389,0.01787,22.35883,-4.75329,41.00063
0.04382,0.00963,9.79311,0.06184,0.08689,0.01699,21.72283,-5.19444,41.07395
0.04304,0.00909,9.79247,0.05338,0.08432,0.0213,21.82464,-4.68892,41.18343
0.04222,0.00855,9.7919,0.06936,0.07346,0.02419,21.54518,-5.09979,40.81069
0.04135,0.00801,9.7914,0.07694,0.0817,0.02119,22.34045,-4.93158,40.9055
0.04045,0.00746,9.79098,0.06494,0.08623,0.02393,22.43524,-5.22424,41.00793
0.03951,0.00691,9.79063,0.07726,0.07756,0.02162,21.48564,-4.7525,41.19596
0.03853,0.00636,9.79035,0.08993,0.10034,0.02026,21.98916,-4.99706,41.58266
0.03751,0.00581,9.79016,0.06209,0.08211,0.01478,21.22553,-5.60625,40.58547
0.03645,0.00525,9.79004,0.09085,0.06797,0.02128,21.65095,-4.81671,40.66941
0.03536,0.00469,9.79,0.09408,0.06611,0.01888,22.03682,-4.99259,41.42741
0.03423,0.00413,9.79004,0.08284,0.06335,0.02018,21.82816,-4.78249,41.11514
0.03307,0.00357,9.79016,0.08116,0.0835,0.02062,21.95913,-4.94577,41.45845
0.03187,0.00301,9.79035,0.08207,0.07067,0.01831,22.20582,-5.17629,41.10311
0.03065,0.00245,9.79063,0.06474,0.08397,0.01715,21.7668,-4.68243,40.59966
0.02939,0.00188,9.79098,0.08364,0.07364,0.01909,22.40288,-4.55037,40.40851
0.0281,0.00132,9.7914,0.07061,0.08033,0.01785,21.88341,-4.96113,41.20756
0.02679,0.00075,9.7919,0.08352,0.07255,0.02075,22.38771,-5.14859,41.10192
0.02545,0.00019,9.79247,0.08128,0.072,0.02407,21.95126,-5.30413,41.23892
0.02409,-0.00038,9.79311,0.10116,0.0727,0.02884,22.25142,-4.7216,41.09101
0.0227,-0.00094,9.79382,0.08975,0.07823,0.0258,21.70782,-4.99285,40.43348
0.02129,-0.00151,9.79459,0.08817,0.07305,0.0319,22.04538,-4.72156,40.99984
0.01986,-0.00207,9.79542,0.07858,0.05411,0.02114,21.59016,-4.80989,40.93772
0.01841,-0.00264,9.79631,0.09509,0.06827,0.03148,22.31806,-5.1936,40.91771
0.01694,-0.0032,9.79725,0.08461,0.05062,0.0299,22.35664,-5.00193,40.85204
0.01545,-0.00376,9.79824,0.10139,0.04268,0.02768,22.04299,-5.17126,41.41747
0.01395,-0.00432,9.79928,0.10072,0.06281,0.02662,21.88359,-5.15364,40.60754
0.01243,-0.00488,9.80036,0.10532,0.07499,0.03131,21.6717,-4.37575,41.59405
0.01091,-0.00544,9.80148,0.0939,0.05494,0.02325,22.12556,-5.2739,40.98974
0.00937,-0.00599,9.80264,0.10339,0.04819,0.03787,22.47001,-5.37113,40.57591
0.00782,-0.00654,9.80382,0.09014,0.05221,0.02679,21.22564,-5.06861,41.54086
0.00627,-0.00709,9.80503,0.08227,0.05906,0.02092,22.19147,-5.0676,41.58222
0.00471,-0.00764,9.80625,0.09594,0.05732,0.03137,21.84813,-5.40179,41.09058
0.00314,-0.00819,9.80749,0.09255,0.06196,0.03076,21.8469,-4.87353,41.52131
0.00157,-0.00873,9.80874,0.08363,0.07691,0.02792,21.77001,-4.27183,41.04651
0.0,-0.00927,9.81,0.10881,0.06695,0.02099,22.03625,-5.1576,40.59746
-0.00157,-0.00981,9.81126,0.07777,0.05904,0.03259,22.1172,-5.09175,40.76044
-0.00314,-0.01034,9.81251,0.08598,0.05169,0.02473,21.93902,-5.00687,40.7312
-0.00471,-0.01087,9.81375,0.09388,0.04886,0.03012,22.15213,-4.94656,41.14165
-0.00627,-0.01139,9.81497,0.08002,0.0519,0.03178,22.19235,-5.4794,41.04775
-0.00782,-0.01191,9.81618,0.10892,0.05312,0.03017,22.13514,-4.92586,41.20239
-0.00937,-0.01243,9.81736,0.09789,0.05564,0.02698,21.94887,-4.62406,40.93875
-0.01091,-0.01294,9.81852,0.09577,0.0484,0.03508,21.7436,-4.72685,40.71891
-0.01243,-0.01345,9.81964,0.08715,0.05458,0.03204,22.08927,-4.68124,40.87625
-0.01395,-0.01395,9.82072,0.10242,0.04261,0.03792,22.18974,-4.83904,41.05636
-0.01545,-0.01445,9.82176,0.09037,0.04763,0.03438,21.99424,-4.96288,40.59205
-0.01694,-0.01495,9.82275,0.10027,0.04317,0.0267,21.95359,-5.55695,41.20957
-0.01841,-0.01543,9.82369,0.10719,0.04874,0.02738,21.71639,-5.04534,40.27288
-0.01986,-0.01592,9.82458,0.10067,0.05509,0.03103,21.85168,-4.94541,41.10519
-0.02129,-0.01639,9.82541,0.10999,0.04781,0.02938,21.86162,-4.94542,41.46686
-0.0227,-0.01686,9.82618,0.09601,0.03627,0.02872,21.3711,-4.90106,40.5916
-0.02409,-0.01733,9.82689,0.08703,0.0262,0.02771,22.17052,-5.39341,40.47511
-0.02545,-0.01779,9.82753,0.10128,0.04171,0.0357,22.22217,-5.00255,40.61067
-0.02679,-0.01824,9.8281,0.09838,0.04928,0.03085,21.56876,-4.66922,40.87543
-0.0281,-0.01868,9.8286,0.09562,0.04359,0.03915,22.07909,-5.09997,41.20464
-0.02939,-0.01912,9.82902,0.12127,0.05646,0.03759,21.66332,-3.87438,40.6404
-0.03065,-0.01956,9.82937,0.09616,0.03472,0.04259,22.12607,-5.42814,41.08028
-0.03187,-0.01998,9.82965,0.1054,0.03768,0.02858,21.78249,-5.13105,41.00682
-0.03307,-0.0204,9.82984,0.09477,0.04736,0.03016,21.48058,-5.22182,41.40467
-0.03423,-0.02081,9.82996,0.09426,0.06255,0.03759,21.65067,-5.25029,41.07301
-0.03536,-0.02121,9.83,0.08822,0.06201,0.0304,22.20428,-4.56196,40.96724
-0.03645,-0.02161,9.82996,0.09003,0.03467,0.03739,22.26273,-4.98298,40.57993
-0.03751,-0.022,9.82984,0.10039,0.02979,0.02488,21.79073,-5.42974,41.17606
-0.03853,-0.02238,9.82965,0.11937,0.05423,0.03315,21.85978,-4.79337,41.31839
-0.03951,-0.02275,9.82937,0.09569,0.03333,0.04727,21.96776,-5.1456,41.03597
-0.04045,-0.02312,9.82902,0.1056,0.02366,0.03521,21.65009,-5.08348,41.56308
-0.04135,-0.02347,9.8286,0.10713,0.03206,0.032,21.90658,-4.68478,40.83149
-0.04222,-0.02382,9.8281,0.11412,0.01836,0.03543,22.52283,-5.60235,41.35652
-0.04304,-0.02416,9.82753,0.08098,0.0303,0.03622,22.24729,-5.94636,40.42466
-0.04382,-0.02449,9.82689,0.0937,0.03067,0.03283,21.93374,-5.35585,40.87962
-0.04455,-0.02481,9.82618,0.09074,0.03184,0.04041,22.42988,-5.19693,40.9046
-0.04524,-0.02513,9.82541,0.09952,0.02555,0.03745,21.53135,-4.88847,40.72544
-0.04589,-0.02543,9.82458,0.0893,0.01172,0.04372,21.95782,-4.65515,41.08169
-0.04649,-0.02573,9.82369,0.08163,0.01585,0.04191,21.7703,-5.3271,40.94619
-0.04704,-0.02601,9.82275,0.09669,0.01566,0.03669,21.85645,-5.777,41.1508
-0.04755,-0.02629,9.82176,0.09011,0.03791,0.03278,21.52612,-4.64371,40.52448
-0.04801,-0.02656,9.82072,0.09162,0.02993,0.03708,21.50336,-4.94359,40.9417
-0.04843,-0.02682,9.81964,0.11057,0.02893,0.0541,21.50623,-5.0065,40.68
-0.0488,-0.02706,9.81852,0.109,0.03034,0.04289,21.7668,-5.22355,40.3911
-0.04911,-0.0273,9.81736,0.11426,0.02628,0.03801,22.28005,-4.77473,41.29258
-0.04938,-0.02753,9.81618,0.08062,0.01314,0.04048,22.10663,-4.71283,40.69741
-0.04961,-0.02775,9.81497,0.09781,0.04141,0.04316,22.26117,-5.00576,41.23029
-0.04978,-0.02796,9.81375,0.11424,0.0195,0.04601,21.73746,-4.82297,41.27127
-0.0499,-0.02816,9.81251,0.08833,0.02848,0.0367,21.75843,-5.00036,41.5796
-0.04998,-0.02835,9.81126,0.09858,0.02593,0.03661,22.02325,-5.35297,40.82867
-0.05,-0.02853,9.81,0.10346,0.01526,0.04771,21.93928,-5.05938,41.383
-0.04998,-0.0287,9.80874,0.08822,-0.00049,0.04714,22.12426,-5.64956,41.01336
-0.0499,-0.02886,9.80749,0.09026,0.03123,0.03717,21.82577,-5.27312,40.68378
-0.04978,-0.02901,9.80625,0.08687,-0.00151,0.03584,21.51802,-5.44918,40.5321
-0.04961,-0.02915,9.80503,0.08822,0.00507,0.03504,22.14348,-5.01442,40.87041
-0.04938,-0.02928,9.80382,0.08834,0.0269,0.04255,22.14261,-5.77581,40.80388
-0.04911,-0.0294,9.80264,0.0708,0.00577,0.0434,21.79771,-4.84442,40.69318
-0.0488,-0.0295,9.80148,0.09778,-0.00644,0.0404,22.12594,-4.83922,40.96182
-0.04843,-0.0296,9.80036,0.11092,0.00401,0.03962,21.17215,-4.46932,40.8893
-0.04801,-0.02969,9.79928,0.07925,0.02043,0.04822,22.0325,-5.43048,41.12569
-0.04755,-0.02976,9.79824,0.08427,-0.00543,0.04743,21.36022,-4.82985,41.13781
-0.04704,-0.02983,9.79725,0.11045,0.00859,0.03209,21.74916,-4.9806,41.10667
-0.04649,-0.02988,9.79631,0.09919,-0.0152,0.0409,22.29096,-4.53681,41.55831
-0.04589,-0.02993,9.79542,0.08491,0.01443,0.05127,22.35942,-4.78289,41.24834
-0.04524,-0.02996,9.79459,0.08033,-0.01196,0.04779,21.89588,-5.00844,40.82638
-0.04455,-0.02999,9.79382,0.0837,0.0039,0.03793,22.02055,-4.92618,40.97679
-0.04382,-0.03,9.79311,0.07958,0.00849,0.05256,21.81963,-4.62966,41.26678
-0.04304,-0.03,9.79247,0.05986,-0.00793,0.04017,22.23453,-4.94345,41.14232
-0.04222,-0.02999,9.7919,0.09212,-0.01025,0.03978,21.63313,-5.05108,40.96427
-0.04135,-0.02997,9.7914,0.08681,-0.00947,0.0482,22.27513,-4.53604,41.21339
-0.04045,-0.02994,9.79098,0.08629,0.00358,0.04686,21.80446,-4.61318,41.51556
-0.03951,-0.0299,9.79063,0.10352,-0.00373,0.04559,22.12491,-5.00076,41.18579
-0.03853,-0.02985,9.79035,0.08185,-0.00696,0.05291,22.04941,-4.9799,41.26461
-0.03751,-0.02979,9.79016,0.08386,-0.00305,0.04394,21.63388,-5.00929,40.65893
-0.03645,-0.02971,9.79004,0.08374,-0.01872,0.04899,22.22477,-4.91587,40.96996
-0.03536,-0.02963,9.79,0.08506,-0.0275,0.03907,21.95538,-4.89642,40.97618
-0.03423,-0.02954,9.79004,0.07011,-0.00745,0.04242,21.67942,-4.90115,40.93701
-0.03307,-0.02943,9.79016,0.09136,-0.00307,0.04851,22.0965,-5.25355,40.71931
-0.03187,-0.02932,9.79035,0.06392,0.01813,0.03957,21.93705,-5.10812,40.91567
-0.03065,-0.02919,9.79063,0.07201,-0.03028,0.04012,21.5828,-5.03803,40.79474
-0.02939,-0.02906,9.79098,0.07018,-0.01037,0.04233,22.27963,-5.11585,41.06755
-0.0281,-0.02891,9.7914,0.06299,-0.0069,0.04335,22.12263,-4.901,40.94797
-0.02679,-0.02876,9.7919,0.0776,-0.01825,0.05224,22.28029,-4.85525,40.64596
-0.02545,-0.02859,9.79247,0.0636,-0.02197,0.04441,22.1344,-5.26896,41.35312
-0.02409,-0.02841,9.79311,0.07379,-0.03639,0.04339,21.22444,-5.22552,40.83526
-0.0227,-0.02823,9.79382,0.06679,-0.02045,0.04392,21.82188,-4.54925,41.36447
-0.02129,-0.02803,9.79459,0.06061,-0.00558,0.0379,21.75562,-4.54244,40.32813
-0.01986,-0.02782,9.79542,0.0769,-0.03158,0.04541,21.94594,-4.49084,40.75682
-0.01841,-0.02761,9.79631,0.06957,-0.0137,0.04499,21.75338,-5.01776,41.02805
-0.01694,-0.02738,9.79725,0.07821,-0.03032,0.04413,22.09688,-5.05015,40.94442
-0.01545,-0.02714,9.79824,0.06828,-0.02877,0.04249,22.13222,-5.32853,41.34962
-0.01395,-0.0269,9.79928,0.06971,-0.0355,0.04802,22.05018,-4.77135,41.34765
-0.01243,-0.02664,9.80036,0.06294,-0.03073,0.04369,21.70567,-5.22393,41.08535
-0.01091,-0.02638,9.80148,0.06581,-0.02948,0.04314,22.10437,-5.15048,40.68795
-0.00937,-0.02611,9.80264,0.06319,-0.02812,0.04159,22.24815,-4.7462,41.01227
-0.00782,-0.02582,9.80382,0.06505,-0.02111,0.04689,22.26739,-4.5032,41.02415
-0.00627,-0.02553,9.80503,0.06717,-0.01856,0.04546,21.66151,-4.7282,40.52937
-0.00471,-0.02523,9.80625,0.07967,-0.0195,0.04819,22.01533,-4.47459,40.71613
-0.00314,-0.02492,9.80749,0.04919,-0.03508,0.04605,21.69806,-4.95384,41.04078
-0.00157,-0.0246,9.80874,0.05165,-0.01397,0.04049,21.61698,-4.88716,40.93776
-0.0,-0.02427,9.81,0.06296,-0.03709,0.04239,21.80634,-5.20508,41.1575
0.00157,-0.02393,9.81126,0.05296,-0.02418,0.05059,22.31218,-4.72978,41.23531
0.00314,-0.02359,9.81251,0.06443,-0.03786,0.04643,21.45096,-4.91247,40.79787
0.00471,-0.02324,9.81375,0.0597,-0.0283,0.04108,21.69585,-5.1048,40.84472
0.00627,-0.02287,9.81497,0.05631,-0.04602,0.04816,21.49345,-5.64653,41.215
0.00782,-0.0225,9.81618,0.04053,-0.04095,0.04093,21.57734,-5.11966,40.87696
0.00937,-0.02213,9.81736,0.06234,-0.03173,0.0468,22.22731,-4.66503,41.12339
0.01091,-0.02174,9.81852,0.04738,-0.02692,0.05703,22.19816,-4.4688,41.27798
0.01243,-0.02135,9.81964,0.05885,-0.04888,0.0427,21.98515,-5.50084,40.82211
0.01395,-0.02094,9.82072,0.05795,-0.0455,0.05102,21.59462,-5.14809,41.30703
0.01545,-0.02054,9.82176,0.05026,-0.03681,0.05695,22.38904,-5.26306,41.39537
0.01694,-0.02012,9.82275,0.04092,-0.04075,0.04858,22.32191,-5.33878,41.13556
0.01841,-0.0197,9.82369,0.0512,-0.03332,0.04753,22.30102,-5.21346,41.34412
0.01986,-0.01927,9.82458,0.04836,-0.05629,0.05069,22.05379,-5.1067,40.77912
0.02129,-0.01883,9.82541,0.04131,-0.05757,0.05718,21.66152,-5.19838,41.34347
0.0227,-0.01839,9.82618,0.04843,-0.03679,0.05638,21.90636,-5.31395,41.25328
0.02409,-0.01794,9.82689,0.0494,-0.04811,0.04254,22.37175,-4.82725,40.58796
0.02545,-0.01748,9.82753,0.04809,-0.06009,0.04652,21.66301,-5.19135,40.75001
0.02679,-0.01702,9.8281,0.033,-0.03927,0.05047,22.18862,-4.6723,40.88819
0.0281,-0.01655,9.8286,0.03878,-0.04197,0.05759,22.26972,-4.58553,41.30569
0.02939,-0.01607,9.82902,0.04739,-0.06602,0.05352,22.06388,-4.98374,40.84182
0.03065,-0.01559,9.82937,0.03139,-0.04484,0.05337,21.55066,-4.93457,40.83179
0.03187,-0.01511,9.82965,0.02496,-0.04589,0.04758,21.80229,-5.23075,41.08439
0.03307,-0.01462,9.82984,0.03318,-0.06155,0.04508,21.94525,-4.87846,40.68509
0.03423,-0.01412,9.82996,0.03698,-0.05968,0.06297,21.7177,-5.23704,41.0582
0.03536,-0.01362,9.83,0.02188,-0.04397,0.05839,21.88371,-4.94817,40.84467
0.03645,-0.01311,9.82996,0.0297,-0.03873,0.0539,21.72873,-4.53623,41.34862
0.03751,-0.0126,9.82984,0.03337,-0.06044,0.04981,21.76136,-4.85972,40.90506
0.03853,-0.01209,9.82965,0.00495,-0.04538,0.05048,22.32354,-5.04085,41.05654
0.03951,-0.01157,9.82937,0.03724,-0.05155,0.05101,22.96432,-5.0507,41.05076
0.04045,-0.01104,9.82902,0.04221,-0.06426,0.0444,21.57038,-4.8399,41.18769
0.04135,-0.01052,9.8286,0.03106,-0.07052,0.05467,22.35918,-5.02919,41.00977
0.04222,-0.00998,9.8281,0.02918,-0.05409,0.05289,21.67417,-5.05239,40.63626
0.04304,-0.00945,9.82753,0.02751,-0.05322,0.04922,22.08904,-5.46695,41.25738
0.04382,-0.00891,9.82689,0.0153,-0.058,0.05532,21.77305,-4.64083,41.03722
0.04455,-0.00837,9.82618,0.01902,-0.05448,0.04354,22.17823,-4.98155,41.31088
0.04524,-0.00783,9.82541,0.01533,-0.06443,0.05165,21.98219,-5.35219,40.94181
0.04589,-0.00728,9.82458,0.02894,-0.06247,0.04548,22.21478,-5.55603,40.36392
0.04649,-0.00673,9.82369,0.01498,-0.06047,0.05096,21.73217,-5.04515,40.58038
0.04704,-0.00618,9.82275,0.01597,-0.07917,0.04913,22.07847,-5.52699,40.84325
0.04755,-0.00562,9.82176,0.02041,-0.04825,0.04238,22.10198,-5.37078,40.59642
0.04801,-0.00507,9.82072,0.02725,-0.05778,0.0459,22.06571,-4.80742,41.05439
0.04843,-0.00451,9.81964,0.03251,-0.05913,0.03497,21.91294,-5.22097,40.93876
0.0488,-0.00395,9.81852,0.00892,-0.07241,0.04453,22.40902,-4.8208,40.79878
0.04911,-0.00339,9.81736,0.01433,-0.05985,0.0563,21.68341,-4.76604,40.81766
0.04938,-0.00282,9.81618,0.01783,-0.06923,0.03862,22.01061,-5.53525,40.93486
0.04961,-0.00226,9.81497,0.00444,-0.07201,0.04255,21.66528,-5.25338,40.92557
0.04978,-0.0017,9.81375,0.01665,-0.06159,0.04763,22.38216,-5.41042,41.20551
0.0499,-0.00113,9.81251,0.00076,-0.067,0.05319,21.79613,-4.75965,40.99721
0.04998,-0.00057,9.81126,0.02537,-0.07308,0.05634,22.19413,-5.35224,41.40819
0.05,-0.0,9.81,-0.0106,-0.09303,0.05427,22.32069,-4.98439,40.92169
0.04998,0.00057,9.80874,0.01458,-0.06426,0.04672,22.21946,-5.37299,40.83231
0.0499,0.00113,9.80749,-0.01302,-0.09403,0.04411,22.3667,-5.32935,40.83499
0.04978,0.0017,9.80625,-0.01538,-0.06403,0.05,22.14722,-5.03171,40.64869
0.04961,0.00226,9.80503,-0.01476,-0.06495,0.0497,22.23232,-5.94878,41.33303
0.04938,0.00282,9.80382,-0.01122,-0.05223,0.04742,22.00848,-4.80189,40.73726
0.04911,0.00339,9.80264,0.00119,-0.08105,0.05641,22.23796,-4.85131,40.78274
0.0488,0.00395,9.80148,-0.01089,-0.07222,0.03978,21.83448,-4.71858,40.61955
0.04843,0.00451,9.80036,0.00275,-0.08212,0.05155,21.6557,-4.85469,41.13882
0.04801,0.00507,9.79928,8e-05,-0.06291,0.05619,22.06268,-5.36785,41.39713
0.04755,0.00562,9.79824,-0.02557,-0.08144,0.05359,22.13307,-4.52208,40.99878
0.04704,0.00618,9.79725,-0.03068,-0.0804,0.05075,21.89482,-4.57626,40.92572
0.04649,0.00673,9.79631,-0.02938,-0.07357,0.04412,22.50997,-4.91897,40.57901
0.04589,0.00728,9.79542,-0.00547,-0.05513,0.03981,22.27092,-4.85479,41.0527
0.04524,0.00783,9.79459,-0.01407,-0.07448,0.04634,22.4233,-5.40486,41.58757
0.04455,0.00837,9.79382,-0.00346,-0.09183,0.04975,22.42596,-5.1473,40.95128
0.04382,0.00891,9.79311,-0.02399,-0.06886,0.04671,21.99705,-4.83794,40.93772
0.04304,0.00945,9.79247,-0.02987,-0.0945,0.04212,21.64606,-5.51616,40.78194
0.04222,0.00998,9.7919,-0.01942,-0.08109,0.04555,21.69459,-5.29802,40.58363
0.04135,0.01052,9.7914,-0.03601,-0.07503,0.04262,22.00519,-5.18542,41.72838
0.04045,0.01104,9.79098,-0.04284,-0.08078,0.04794,21.76866,-4.90544,41.04668
0.03951,0.01157,9.79063,-0.03677,-0.07897,0.05151,22.39284,-5.18299,41.44113
0.03853,0.01209,9.79035,-0.02926,-0.10351,0.05214,21.97552,-5.26471,41.27997
0.03751,0.0126,9.79016,-0.03322,-0.0741,0.04907,22.2251,-4.79616,41.14195
0.03645,0.01311,9.79004,-0.04002,-0.07557,0.04954,22.60068,-4.8564,41.22534
0.03536,0.01362,9.79,-0.03855,-0.08933,0.04987,21.64886,-5.35108,40.96743
0.03423,0.01412,9.79004,-0.03287,-0.08373,0.05492,21.8799,-4.79574,40.95661
0.03307,0.01462,9.79016,-0.03522,-0.08366,0.03894,22.01991,-5.19148,40.72105
0.03187,0.01511,9.79035,-0.05333,-0.09114,0.03984,22.26104,-5.07179,40.49538
0.03065,0.01559,9.79063,-0.04238,-0.07962,0.0462,21.91563,-5.11075,40.96152
0.02939,0.01607,9.79098,-0.05381,-0.08809,0.04632,22.88613,-5.0639,40.86331
0.0281,0.01655,9.7914,-0.02809,-0.08964,0.05032,21.73777,-4.53343,40.8117
0.02679,0.01702,9.7919,-0.03538,-0.0772,0.04747,21.99996,-4.82405,41.2048
0.02545,0.01748,9.79247,-0.05119,-0.08714,0.0442,21.77639,-5.19452,41.36479
0.02409,0.01794,9.79311,-0.02547,-0.06333,0.04858,21.74758,-5.29084,41.48224
0.0227,0.01839,9.79382,-0.05796,-0.09297,0.04597,22.525,-5.304,41.3305
0.02129,0.01883,9.79459,-0.03058,-0.09188,0.05105,21.53839,-5.02646,40.93549
0.01986,0.01927,9.79542,-0.07063,-0.08646,0.05043,21.49199,-5.42368,40.77521
0.01841,0.0197,9.79631,-0.05125,-0.09407,0.04379,21.69764,-4.90805,40.85743
0.01694,0.02012,9.79725,-0.04814,-0.09369,0.05079,21.95372,-4.74154,41.0309
0.01545,0.02054,9.79824,-0.03929,-0.0793,0.04113,22.2766,-4.46515,40.70824
0.01395,0.02094,9.79928,-0.04959,-0.09572,0.05055,22.156,-5.20079,41.39377
0.01243,0.02135,9.80036,-0.05893,-0.09389,0.05339,22.58603,-5.1538,41.23469
0.01091,0.02174,9.80148,-0.04924,-0.10869,0.04341,21.63857,-5.151,40.87496
